,Comment
737,i love how he brings joy an laughter to all of us
738,you shoul o an offroa test with all the trucks in the swamp next to the military base
739,we want some more lovely vlogs from you ron bhai
740,ol ron is back
741,full to enjoy maza aa gaya
742,the return of legen love u ron bhai big fan
743,hoping 10 m in one month so we can see your vlog with your lovely face
744,i just love your simplicity an innocence in your vlog
745,yes ron bhai your vlogs are all love an amazing plz uploa more
746,where is that u s pizza please give a ress love from ahme aba
747,keep uploa ing more vi eos like this its amazing to know about u an about gan hinagar
748,lots of love from kerala ron bhai
749,i cant beleive how consistent agn has been for years now
750,it s 4 am an i nee to get back to sleep thanks agn
751,great vi eo honestly he never isappoints keep it up agn
752,your intro never gets ol
753,yes just what i nee e love ur vi s agn
754,first vi eo i ve seen an i have to say very satisfying to watch
755,incre ible vi eo incre ible channel
756,i love watching asmr to fall asleep at night plus i love playing fortnite but i never knew i love them together until i foun your channel
757,i ve been a fan since 10k i love your vi eos i watch it every night an ay you are a legen an you nee 1 million subscribers probably more than that oh wait time to o my step asmr gaming asmr gaming
758,very relaxing vi eo it helpe me sleep
759,ive been aroun for every console generation i remember thinking uring the genesisturbografx era snes not out quite yet what games woul be like when i was ol an the kin of specs they woul nee obviously i ha no i ea what the specs really meant back then but i was thinking 256bit lol as for the cpu an 64bit is all we really nee for that they have happily progresse faster than i ha imagine looking just as goo to ay if not better then i imagine things woul look like 2025 years from now the 1990s an early 2000s with the massive clock spee increases an the a vent of the gpu were the main things that took us to where we are har ware wise
760,we are an architecture an construction company in chile an we have use unreal engine for a long time an it is the best for realtime visualization the preview versions of unreal 5 were alrea y spectacular an the best thing is the lighting lumion really change everything its great that this is being talke about not only in games but also in movies an other experiences like ours there are plenty of tutorials to learn we i it that way out of fear to learn it
761,i actually home every game system ating back to my atari 2600 i never ever thought games woul look this goo i cant imagine how they will look 20 years from now with how fast technology keeps moving forwar
762,im over the moon hype for the ay before i hope it elivers in the hype like el en ring i if thats even possible for evelopers other than fromsoft
763,most games these ays look min blowing especially when you can remember when gaming pretty much first starte with games like pong etc
764,i think we ve reache the point that these evs nee to come up with better i ea an aí for eca es now they just been able to make games look better a lot of games are actually worse gameplay wise with stale i eas an umbe own mechanics than ol er games
765,these games look insane cant wait to play some of them great list by the way
766,im so gla i built a nice high en rtx 3090 pc a year ago its incre ible the amount of eye can y 4k gaming treats us with no won er its the biggest money making entertainment in ustry on the planet thanks for those awesome little previews nicely presente too much appreciate
767,අන යල ව මට උදව වක කරන න මට ඉක මනට subscribe 150 ගහන ම ප ඩ උදව වක ද න නක
768,wow im impresse think theyve set a new bar with that spec an it being a 42
769,this monitor looks really clean with almost no bezels i like how it s got a tilt a justable stan as well nice vi eo
770,my favorite part of this tv 42 is basically tv size is the custom heatsink i ont care too much about the size of the back of the monitor as long as it oesnt im the brightness constantly
771,great vi eo i think ill still be leaning towar the c2 though as the 400 price ifference at the moment is too appealing
772,awesome review what are your thoughts on the picture quality compare to the lg c2 42 oes the matte coating make a noticeable ifference to the picture quality i want to get a new monitor for work an gaming but not sure if i shoul get the c2 at a cheaper price this or perhaps wait another year for something new
773,ole gaming wow please compare to the c2 you ha as a monitor si e by si e to see that contrast ifference uniform brightness ifference etc for those comparing the c2 42 an this love your content
774,thanks for the review i cant wait for your full review my ream spec for a gaming monitor woul be pretty close to this 42 inches or so antiglare normal aspect ratio not ultra wi e but 1440 200mhz instea of 4k because not even a 3090ti will o anywhere near 4k 138mhz in most ecent looking aaa titles anyway if possible i ha a couple of suggestions for things to look at over the course of your full review what o resolutions other than 4k look like on the monitor try playing a game in 10801440 an seeing what the monitors scaling is like in the settings what h r options are available thanks
775,hi spawnpoiint im looking forwar to the complete review youre the most thorough an thoughtful reviewer ive seen one thing i like to see in the review is a comparison with a matte screen i eally a si ebysi e in ifferent con itions to illustrate the pros an cons an help us eci e what coating we prefer ont know if thats feasible for you in any case thanks for the work an enjoy
776,post game epression never really hit me until un ertale an now every chapter of eltarune i ont know if its because im getting ol an soft or if theyre just that goo
777,2n meme i have tainte such an innocent soul
778,1st meme my a ha gotten me resi ent evil 4 i ha fallen in love with it but my a saw my explo e a grana os hea an got really surprise at the amount of violence in this 18 rate game
779,the r3 l3 one is so relatable i ha a transformers game on the wiiu a while back an it took me months to figure it out
780,as a person who very rarely plays console an hasnt owne one for over 3 years i can very much relate to not knowing where the buttons are my frien s are all going ok now just press rt then lt then a an go left an im there constantly checking where the buttons are right top left top a an left
781,i thought it was just me with the en of game epression it hits har
782,gg well playe bro is just killing them with kin ness
783,والله متت من الضحك الله يسلم هالايدين
784,الله يسعدك ابو محمود قديش متنا ضحك مع العيله
785,when you support someone from start an than u see him on this stage really feeling prou of you guys
786,im using realme 9 5g but its 6128gb varient so its really goo performing phonebut there is some issues with up atesbtw ecent performance
787,low an evicelow frame rates recor ing lag less viewsbut i have faith in my skills will also rise like you
788,believe or not but poco x3 pro i still king i am using it from 10 monthsi can play with recor ing constant 60 fps
789,best gaming phone poco m4 pro 5g on bgmi
790,nice bro
791,nice vi eo bro
792,thank you po kuya ash kasi na kinin ko lahat para mabilis buti natapps ko na pag mag up ate para nonou kita pag na hanap mo mga skin thanks po kiya ash
793,thank you kuya nakuha ko na
794,backroom hunter is back
795,mi night fight express is looking so fun to play
796,pacman worl was won erful now we just nee ms pacmans maze ma ness if this tren is anything to go by well see it happen in less than 5 years lets go
797,these games look like a lot of fun this time cant wait to try them out when i get enough money
798,pacman worl baby wooooooooo
799,love ash great team
800,soul hackers 2 is the right answer the first came out when i was born an now 25 years later the secon game is available the stars have aligne perfectly
801,that saints row reboot looke isappointing from the start its a shame it turne out that way in the en we will always have saints row 2 an the thir
802,1930 let s just appreciate how they always manage to put a smile on our faces whenever we feel negative
803,4219 im honestly impresse by the time an effort you put into these vi eos keep it up
804,2636 let s just appreciate how they always manage to put a smile on our faces whenever we feel negative
805,আজক র ভ ড ও ট ভ ল হল ম র জ ভ ই love you
806,we nee part 78 love from chittagong
807,gta5 দ য় র জন য ধন যব দ
808,ম র জ ভ ই ত ম দ র ঘর একদ ন জ ব
809,keep up the great content really enjoy it when you play the long rive
810,by far my most favourite series camo o goo job all is appreciate
811,theory karl is trying to help the player but like the mothman it brings estruction an eath
812,there are three types of people in this worl the ones who prefer gaming the ones who prefer watching vi eos an the one who spen their ay trying to entertain their subscribers thank you camo o you never eceive us keep up the goo work oh an btw you know that you can refill your paint can by pressing r on another paint can even if the other can is another color it oesn t matter
813,theory karl is a creation ma e by the ev that was suppose to help you but has gone wrong an is trying to hunt the players an scare them
814,gotta love lenovo got the ryzen 5600h version of this laptop with the same 3050 after seeing the positive reviews you guys gave it an i coul nt have been happier it was 700 in italy at the time paire with my wacom cintiq an a ram upgra e its been the perfect little gaming an igital painting set up
815,people have been going crazy for the gigabyte g5 k going for a relativelyaffor able price for an i5 11400h an rtx 3060 woul be cool to see you guys buy an review it to see how goo it is
816,lenovo always been crazy in the bu get gaming laptop market my first intro uction to pc gaming was a 1080p lenovo with sli 750ms was a killer eal too back when the 7 series was nvi ias newest line i remember looking up so many vi eos about its performance in games weeks before i got it i havent gotten anything lenovo since as i buil my own towers now an get much more premium laptops but i will always appreciate an respect what lenovo oes
817,nice efinitely a great value i still have my ol lenovo 960m 4gb gaming laptop i never upgra e it from 8gb of ram an that woul ve been an easy move for more performance now it oesnt make sense as i upgra e to an alienware with a 3080 an 32gb of ram but i still sometimes fire up the lenovo to see what it can o in 2022
818,i just bought this to ay on best buy for 570 ollars love to see your making a vi eo on it
819,recently bought a lenovo legion laptop for 539 on ebay 4600h 1650 ti 8gb rams an 512ss never been happier lenovo makes the best bang for the buck laptops also they aren t to flashy
820,i got an ol er version of the i eapa gaming 3 with a 1650 but with a ryzen 5600h an a 512gb ss its an amazing laptop but i bough it at the time last year for 750 not a bargain but a well balance laptop for work an gaming
821,i have the mo el from 2019 mine has an i79850h an a mobile gtx 1650 this is a great machine asi e from some plastic chipping ue to the li being opene an close it annoyingly was 1300 with iscounts
822,oh boy cant wait to buy it in 2 years when theyre in stock
823,never thought i say this but i got my ps5 to ay its absolutely breathtaking
824,truly excellent overview concise an informative i genuinely feel better equippe to make my ecision regar ing the playstation 5 after watching your review appreciate you an your consistently fine work
825,just stumble upon your channel after successfully or ering a ps5 yester ay through sony irect the anticipation of it getting elivere ma e me want to watch some unboxings an reviews i came across your channel an imme iately clicke because we have the same last name which is neat haha i actually really enjoye your vi eo it s informative offers great insight an very professional while maintaining a personal creative nuance thank you
826,i got the controller alone for use on my pc an im shocke that it works so natively well of course none game that i know of uses the trigger gimmick but the soun vibration fee back works like a charm sure it oes require some set up but it works
827,i honestly think marques shoul start a gaming channel only so we can appreciate him enjoying his tech in the way most people will o being very analytical an knowle geable about tech is a great benefit to those who come to this channel but there is a slight otherworl liness to seeing some talk about tech in a matter of fact way an not seeing them actually use it in a real worl environment an showing that they actually enjoy the thing they are criticisingwhich to be fair no one with sense woul think he oesnt enjoy his tech but seeing it woul be a great a ition
828,the controller really is the coolest thing about the ps5 astro s playroom is insane with the haptics
829,can we take a moment appreciate the level of effort norman put into this vi eo the research facts analysis an narration are top notch i love the visual aspects like magazines figures gone box art an trinkets great job norm
830,being an 80 s baby 90 s ki it just feels like a blessing to have experience all this first han
831,this is han s own the best ninten o ocumentary i have seen in my entire life huge vi eo game fan im 44 now an getting those memories back is awesome along with tones of things i i nt know cheers
832,your ocumentaries are soooo well written an e ite thanks for the great content man
833,i m in my earlier 40s i ve foun it ifficult to go back an still enjoy many of the games from my youth but super mario worl still hol s up i think it will continue to stan the test of time with the ageless gameplay an level esign it s a masterpiece
834,a fantastic an well ma e ocumentary that truly ma e me feel like a ki again i coul feel my 5 year ol self anticipating this 16 bit treasure as you were escribing the buil up to mario worl s launch in america i havent truly felt that way in a long time thank you i think i am going to go play some mario worl now
835,first allnighter i ha was with a frien playing super mario worl will never forget it seeing the artwork in the instructions book that came along brings back so many memories remember how awesome it was when you first iscovere the sta rroa the top secret area in the onut ghost house the music in vanilla ome or valley of bowser amn it i wanna play now
836,ive been following you since the start always top quality an youve out one yourself amazing vi eo thank you
837,showroom en level
838,2240 best part
839,small mistakes makes vi eo more funny
840,showroom en level hai yr
841,i miss chacha ol ialogues ary o bhagerat kaisy ho mery betoo
842,what a new look
843,ông a min game naruto ạo này thấy ít người chơi nên cho thêm one piece cho nó vui
844,2737 let s just appreciate how they always manage to put a smile on our faces whenever we feel negative
845,4157 let s just appreciate how they always manage to put a smile on our faces whenever we feel negative
846,2111 let s just appreciate how they always manage to put a smile on our faces whenever we feel negative
847,3545 let s just appreciate how they always manage to put a smile on our faces whenever we feel negative
848,3229 let s just appreciate how they always manage to put a smile on our faces whenever we feel negative
849,bro part2
850,the bass line in the beginning really giving me shivers
851,so amasing mix ive been listening to alot of mix but this one is on top please more
852,your songs are so nice one after another you never tire of listening the more you listen the better you listen an the more you listen the more you want to listen great
853,awesome mix
854,excellent
855,everyone rea ing this always remember that those who are afrai to try never wins an those who fight always become the champion
856,love it its so very nice
857,this music is amazing
858,love it
859,i like this kin of music very much
860,first time getting into watching the asmr gaming kin a vi eos been into asmr things for about 5years i k why i havent watche these sooner this was actually super enjoyable an entertaining to watch hell yea love it
861,i love how he ran omly use obama as a trigger wor
862,sometimes i come here to sleep sometimes i come here for commentary sometimes i come here for gameplay you really have it all an i love watching someone who s passionate abt what they o an is as much of a geek as i am keep up the incre ible work
863,very relaxing vi eo it helpe me sleep
864,hello asmr gaming news love ur vi eoskeep it up
865,hi coul you try to make a vi eo in french its my language thanks in a vance an keep up the goo work ps your vi eos are very relaxing
866,very relaxing vi eo it helps me sleep an relax
867,the fake sli e is unfair to the efense you pursue that an get penalize as a efen er
868,for people complaining on the fake sli e it was absolutely legal at the time of the play an was a glaringly awful loophole in the rules it was change as a irect result of that play
869,345 seein bill get all excite like that escribing the play just let s you know how exciting an high iq e ree was in his time him an troy are the best safeties i ve seen in my lifetime by far
870,im not into sports at all but amn i am so amaze at how these guys can act like one min with a single thought just incre ible cooperation
871,polamalu jumping over the line against the titans is extra smart because he knows that even if hes too early its a flag but just half the istance to the goal theyre alrea y so close to the goal line that it oesnt matter
872,in case you re won ering why the clock i n t stop at that obj play the rule states that if you aren t gaining yar s while going out of boun s the clock keeps running this is a great example of obj he can t just catch but he can run throw kick you name it
873,wow what an incre ibly well researche vi eo so many great moments an some i havent even seen before only wish you woul ve inclu e when alex smith hi the ball from the refs but great vi eo nonetheless
874,the fact chris paul knew that rule is impressive
875,what a game of football the passion the fights refereeing ecisions all of it this is why we love the premier league
876,passion aggression goals assists push n pulls yellow an re car s celebrations an fights this is something us man ut fan wish to see in our team but can only see in other teams epl at its best moments ku os to the two epl conten ers great match
877,the volley was great but cucurella s cross was also a thing of beauty
878,most exciting game of football i ve seen in a long time it ha everything
879,conte once a chelsea frien now a evote foe that was col
880,what a goal by koulibaly what a crazy game what a han shake
881,i ont see many commenting on the foul that took havertz own an le to spurs first goal that shoul have been a car an a free kick it was clearly a foul in the replay no won er tuchel was so steame for the rest of the match
882,imagine youre a manchester fan an you here watching this brilliant game
883,i m a chelsea fan chelsea vs tottenham are always some of my very favorite match ays of the season they never ever fail to excite
884,if this is only the 2n week of the premiere league i cant wait for what the rest of the season brings the beautiful game the passionate game
885,im 46 years ol this music rocks my worl
886,i literally ran from my house to the forest near the park that s near my house an starte playing this cause to ay i felt magical
887,ive been out of high school for 7 years in may its not very often that i hear a newer song an get sent back to the musical equivalent of me in 2013 ive been trying to o some trauma healing using this song an i think ive ma e some progress slowly but surely i am starting to love myself again after years of just trying to survive wilist hating myself i may not be happy now but im on the roa to being there i ont care if nobo y sees this i just know im getting better an thats all that matters
888,why o i start crying every time this plays no reason i just o i love this song
889,this music is amazing go my heart stumble upon them whilst searching guitar vi eos for lessons now im playing along
890,i was never goo at sports sis we all felt that
891,all her music is just so goo like i can relate to most of it an the soun s in her music are so sa yet upbeat an happy ive never hear music like hers in my life an i really like it
892,this song is my go to whenever i feel something this song usually helps me go back to feeling empty thanks
893,i hear this song in a store once an it became one of my favorites i finally foun it again love your music beach bunny 3
894,great soun an vibe remin s me of mi 80s college ra io
895,why am i crying tee tee was running for her ear life because jamaica was on her tail like lightning amazing race athletes performing at the highest level
896,so prou of these la ies they beat a jamaican team with 3 of the best sprinters we ve ever seen absolutely incre ible
897,jenna pran ini s leg was crazy she passe one of the greatest ever sprinters an put the usa in the lea wow
898,tee tee teri is such a sweetheart that face brings me to tears every time jamaica was trying to run her own little baby face teetee go girl go
899,beating thompsonherah fraserpryce an jackson in a single race is massive for any team on any stage
900,wow usa 3 of them are rookies amazing beating the jamaican legen s pran ini is awesome on the curves all 4 i what they ha to o to win
901,when i saw melissa jefferson s reaction uring the announcements i imme iately knew usa was going to win she looke iale in
902,shoutout to my american queens yall eserve everything an more
903,this was such an exciting race the jamaicans are so competitive i love it the germans emotions after making the po ium was contagious
904,team jesus comment own below if your on his winning team
905,hur leskicks a man is one of the best calls of all time
906,that marion barber back flip though rip legen
907,the funniest part about the baez thing is as soon as javy turne aroun the first baseman coul have turne aroun an steppe on first an en e the inning
908,124 is a smart move shot clock oesnt move until he touches the ball but the game clock oes roll
909,p tour tickets available now
910,all you guys bring me happiness an joy to my ays when i watch you
911,i know this vi eo has been out a long time but i can t get enough of u e perfect
912,just saying that ever since cory shave them eyebrows he has been straight fire in battles
913,3 years later still not one another annual baseball battle but still love the content keep it up
914,greatest come back ever although cory eserve to win
915,coby always eserves a secon chance
916,this quickly turne into very possible moments
917,some people are not only incre ibly talente they work har on their skills an perform what seems impossible stephan curry an tiger woo s come to min right away both work incre ibly har in practice an alone as well
918,054 best teammate in the history of the worl he jumpe off the bench an was cheering way before the ball went in
919,550 that man knows what he just i was impressive as hell he eserves to feel prou for that
920,110 love the inevitable evan longoria clip but right after that is the volleyball player going into the stan s to keep the ball alive i m surprise that they allowe that
921,i love that you a e volleyball in this compilation more less popular sports nee recognition like cricket o geball an ba minton
922,incre ible performances i just love all the scenes shown just marvelous
923,i swear every half court shot when the time en s is epic
924,an amazing performance efinitely maguires best performance in a unite shirt
925,maguire nee s a stan ing ovation for staying out of this one my go a real captains performance for sure
926,i m not a unite fan but when i say this game gave me chills it reassure me why i watch the premier league
927,crazy seeing ronal o on the bench it s really the beginning of a new era
928,this efense was really soli i can t wait to see the a ition of casemiro with this coaching an this rebuilt efense we ll o really goo this season
929,the fans were there for the players tonight an they i n t isappoint
930,this game was very emotional for me the way we have playe in recent seasons has been frustrating still early but this coul be the start of something great
931,i like to see man ut fans happy they ve been thru a lot they eserve it
932,this is why we love epl even the games between bottom teams are so exciting
933,like this vi eo make sure to check out the top 100 sports bloopers of the eca e
934,i like the clips where someone makes one of the better plays ive seen an the announcer is like that is efinitely one of the best plays this weeken
935,love the variety but the minneapolis miracle in the 90 s while we got regular season mlb in the top 20 cmon man
936,i forget how much i appreciate the other sports i m a hockey person but wow baseball the nfl wow even soccer when they re not crying on the fiel wow what great athletes
937,you know a cana ian ma e this list when a amn curling highlight makes the cut
938,felici a es es un buen ejemplo 250 senta illas son unos topgirlsuno muchas y un buen ejercicio 525 se eja ver que hay muy buenos resulta os salu os es e la c e worl los mortales abian aprecia o tan hermosa mujer
939,i playe on the fiel for number 31 i was in the australian juniour league worl series team an ha alot of memories come back to me from looking at the scenery
940,1442 this is the most painful one on this list if you ask me out of all the premature celebrations out there resulting in losses this ones just ifferent the game was over lol its not like someone trippe you up before getting a touch own the game is literally over all you o is hol onto the ball for a couple secon s an thats it the washington wizar s were up by 3 at that point even if the apposing team has time to foul you you hit just 1 free throw an its over even if you miss both they have to somehow reboun the ball an go for a full court shot to tie the game in an impossible amount of time long story short that throw lost them the game after ot lol just look at his fellow teammates staring at him in total isbelief afterwar s gotta be one of the worst throws in sports history
941,910 the game was almost over an was a blowout at that point allas 52 buffalo 17 yet check out on beebe still giving 100 effort after the game bills owner ralph wilson walke from the owners booth to the locker room an thanke beebe for the play
942,being a packers fan i remember watching that game against the seattle seahawks where hassleback sai they were going to score in ot an when al harris picke him off an took it back i remember my family an i was jumping up an own yelling an going nuts one of my favorite sports moments ever especially with my favorite team being the ones offering the karma back at hassleback
943,hop breaking his ankles literally was by far the most savage
944,success is the best revenge my a use to say an its true
945,pujols an trout taunting with the bow an arrow gestures was priceless
946,440 isnt even the whole story the last time giancarlo stanton face fiers he hit him in the face en ing his season an prompting reconstructive surgery thats the reason he an now many baseball players wear face flaps on their helmets the very next time they face off he hits him again even if unintentional thats nuts
947,this is unreal congrats on oing this at such a special place
948,u e they actually got jim nantz to announce it legen ary
949,i was watching this with my a an he i nt believe they were actually at the masters its crazy great job to the e itors the team an bryson big achievement to be able to play at one of the most prestigious places on earth
950,i feel like most people watching this vi eo have 0 i ea how unbelievable it is that they were allowe to even be at augusta before the masters let alone play all sports golf there
951,it s always a blessing whenever they eci e to play everybo y s favorite battle another roun of all sports golf
952,this is the greatest vi eo ever ma e well one u e perfect bryson the full team
953,as much as i love seeing these battles i think the guys shoul change the frisbees to the isc golfing frisbees they travel farther than the regular ones
954,awesome vi eo thanks to the masters management for allowing this great way to keep those youngsters involve very generous from the masters as always all class
955,i atten e the masters on thurs ay an the woo s on 15 was a great place to stan for a while so many golfers en e up there an got to see them up close what a fantastic experience
956,this arsenal si e is proving itself very nicely playing with a lot more flui ity what a signing gabriel has been for them
957,arsenals attack is so flui an theyre playing so well man theyre fr looking real angerous this season
958,all game the fans were lou an behin the team especially the saliba chant this team is ifferent an they re together coyg
959,it s such a shame that the gabriel jesus goal was rule offsi e he s playing out of his skin at the moment an eserve that goal zinchenko playe amazing to ay marteneli an jesus are always a threat an xhaka has been playing well consistently un er his new role an ofc we gotta talk about saliba so young yet he plays like a veteran special mention to ben white who s also been playing goo at right back
960,3 wins won t guarantee us a top 4 finish but it s better than 3 efeats which is where we were last season
961,its great to see arsenal win the games they are suppose to win excite to see them against top 4 competition
962,114 no sport event anywhere in history can come near this one go himself
963,the last one wasnt great its a foul in footballing terms an always results in a yellow car other players have one the same an been booke for it too as i henry in that last clip
964,if this guy calls zlatan zlatan one more time
965,canelo an plants speech gave me the chills man he was truly sa he lost the fight
966,ave winfiel of the new york yankees acci entally hit an kille a seagull with a baseball in toronto vs the blue jays august 1983 he was charge with cruelty to animals an an autopsy was even one on the seagull it create a lot of controversy here in toronto
967,the jags v texans one always kills me the b i exactly what you re taught to o on t go for the int just knock it own much more effective than trying to go up with an nfllevel receiver just so unlucky lmao
968,kevin e bruyne is insane newcastle nee to be taken seriously this season
969,248 i woul ve roppe everyone aroun me
970,correction in south africa kaiser chiefs fans take it too far
971,the reason for the beach balls in israel a team that oesn t play well is going to the beach so their fans threw beach balls because they sucks
972,i ll never un erstan opposing teams not helping a player outunawareness asi e such a stupi thing help each other out
973,915 this father actually ie from the fall trying to get his son a ball so sa
974,man at 710 got crosse so ba he i a split hilarious
975,crashing on har plywoo floors in basketball worstpossiblepain
976,the right si e of the mi fiel is gonna be an absolute quagmire went right over my hea
977,3 games in to the season might seem like a bit too soon to be worrie about this liverpool team but the early in ications are that the liverpool mi fiel is literally paper thin when it comes to resources as a long time lfc supporter i cant help but compare the ecision to let sa io mane go to the same situation with xavi alonso some years back i think that j klopp is going to have to put in some serious time working with this squa to get anywhere close to a top 4 position this year hope i am wrong but if i am being honest man ut shoul have been 40 up at halftime
978,they misse manè an nobo y wants to a mitte sorry
979,three weeks in an the table is unrecognizable
980,if liverpool ont sign at least 2 players mi fiel ers before the transfer win ow closes making top 4 will be very ifficult an as for vv looks like he is getting too complacent this season
981,perisic has brought so much offensive anger to the wings for spurs which is ea ly consi ering someone of kanes quality waiting for those hea ers
982,i feel as though spurs is not overwhelmingly great compare to other top teams in bpl but what makes them so ea ly is their continuous pressure an effort which shows aroun 2n half
983,it s crazy how much haalan can affect the game even with few touches his runs are always pulling players an opening up space for city to play once they start getting use to him being there for tap ins too it s gonna be even scarier
984,fo en cant o that bs that was a tap in for haalan
985,a am smith shoul have been given a re car
986,if i was haalan woul have been pisse at fo en too
987,honestly you can t even be surprise that bauer acts the way he oes he grew up bullie by ki s an a ults who always tol him he was nothing an worthless that shit stays with you
988,will you make people stop cheating no alright then im just going to openly use the metho of cheating an tell anyone an everyone
989,as someone who was bullie heavily as a ki i can see theres a few outcomes of that sort of situation an one of them is people become complete antisocial assholes like bauer
990,he literally sai i m going to cheat too if nobo y wants to stop everyone else he was the one who ma e it so public an now we have umpires checking all the time
991,bro you i my boy wrong by calling him talentless hippy
992,the boat saving the balls is litteraly the goat
993,bro the ran om og on the soccer fiel stopping the goal like he s airbu has me in tears
994,bro the ran om og on the soccer fiel stopping the goal like he s airbu has me in tears
995,a lot of talk about highlights but no highlights typical cbs talk
996,patricias pencil on t write on plastic
997,liverpool is such a isappointment even scrubs like man u can get the better of them smh
998,hate these stupi zoom conferences
999,prop 12 not knowing how to throw
1000,218 someone nee s to take that glove away before he pokes an eye out
1001,thank you for the lack of basketball highlights
1002,oesn t matter who we buy at this point once they re here they ll regress beyon recognition
1003,i think casemiro is a quality player an a quality singing i on t believe he ll be unmotivate because he s won everything he s a worl class c m which we nee but it s ma ness that we ll be paying that money for him at this point in the win ow crazy it reeks of absolute esperation
1004,quality player is casemiro also a m which weve crie out for the concern with this signing though is how much more motivation will he have to still achieve having won everything multiple times over at ma ri we are sai to pay him an eyepopping 400k a week is what ive hear thats typical unite one of our biggest problems has been paying insane wages resulting in comfortable unmotivate players who we then cant move on when its time as i say quality player but just seems like one that may help to stabilise us a bit more again but wont helps us achieve anything substantial as for pulisic ive always been quite un erwhelme by him albeit you can see he oes possess goo quality i probably woul nt be averse to a loan though it cant be any worse than banging our hea s against a brickwall hoping rashfor oes anything pro uctive every week
1005,we are a absolute mess if casemiro was the target why wasnt he signe 2 months ago we just panic an buy whoever with no strategy man im not saying casemiro is a rubbish player he is quality its just man ut s approach to signings is a joke plus im not overly keen on giving a 30 year ol a 5 year contract at 250k a week but ill literally take anything over scott an fre
1006,unite have 2 big transfer problems right now 1 literally everyone in football knows how ba the situation is at unite an it means alot of goo players are simply going to refuse to go here regar less how much money we offer them haalan is a goo example 2 the players we can get the clubs they play for know how esperate we are an are naturally gonna jack up the price to get as money money as possible
1007,west ham look terrible thus far graham potter is oing incre ible things at brighton
1008,brighton is the team people are actually sleeping ontheyre in a goo stan ing at the moment but nobo y is paying attention
1009,ive been own my whole life an now look at me now look at me now go those wor s tears are speaking
1010,so many people sai e war s i nt even eserve the shot most un errate most isrespecte fighter in the sport casuals with opinions baffling look at him now leon e war s is the quintessential gray man ark horse he oes not train at altitu e an epo ope so the altitu e really affecte his output throughout the fight the hea kick was well rea an calculate incre ible
1011,arsenal haters you i nt beat anyone an it is only 3 games into the season also arsenal haters last season you were beat by a championship team an have lost all your three games you are staring at relegation
1012,won erful group of cars i woul have a tough time choosing between the lotus gt4rs i thought the color combo on that ferrari was in poor taste it oes not look goo to my eyes
1013,i feel like the 765 oesn t belong in this list at all almost unfair
1014,muler is more ballboi than a footballer
1015,well that s a costume i i n t know coul be sexual
1016,ivan toneys mitro celebration probably a lil awkwar now
1017,man ont you hate it when you get stuck on a eserte islan en up clapping a fish woman only for the fish woman to su enly choose to clap the only other guy on the islan i know i o
1018,i get knowing is half the battle but the other half is extreme violence
1019,i mean to be fair stomping on their han when they try to make their presence known peacefully only to get shanke in the eye through a peephole a while later oes in ee anger anyone not just smart fish people
1020,actually if its currently september 1914 an he left 67 ays ago that woul have been a week or two after arch uke franz fer inan was assassinate an an englishman like frien woul nt have known a fullblown worl war was about to clack off since austriahungary woul nt eclare war until a few weeks until after he set sail
1021,this guys bo y language tells me that he is uncomfortable with this interview an that he is withhol ing information
1022,go his chil ren must ve ha such a har time lying to him
1023,the guy is giving a simplifie summary for total beginners an people think it is an exact account if the metho s they use agents have spoken with innocent an guilty people their knew how to account for simple nerves an a guilty person they know how to establish a baseline to account for in ivi ual traits an most importantly none of this can be use too convict you they cant just say yep hes the mur erer he is lying an throw you in prison it is just a tool to help then when interrogating so they can have an i ea if when they are being lie too or who they shoul focus on they still nee to investigate an fin actual proofv to convict you if you i nt o it they cant convict you just because you seeme like you were lying
1024,my a was a rill sargent in the army he ha the ability to rea peoples behavior like thisit was unnerving to have him explain my behavior to me
1025,i m honestly starting to get the impression that being a french woman means putting 100 of your energy into being the sexiest woman in the room but then preten ing you on t try at all
1026,i bet a lot of french people are rolling their eyes at this
1027,being succinct is great now how long will it take for you to learn that people ont appreciate being mislea or flat out lie to o another te talk when you figure that part out si e note youve known this information for a long time this is why the most important information is burie at the bottom the me ia uses it to their a vantage which is why in most cases the first half ten s to be pointless an boring or aime at narrative people stop paying attention so never get to the actual information
1028,i know at least 5 ways to eal with them 1 never take their wor s personally always have this suspicion in min that they o not wish goo for you so you shoul nt trust their opinion of you 2 ont compete with them it is futile an rains your energy 3 if they attack you stay calm in ifferent an if possible give them a sneaky compliment the o s are they are use to people attacking them back an it takes them off guar when you see the positive things in them rather than the negative 4 ont become them if they are negative be positive if they lie tell the truth if they speak behin your back speak to their face always lea with example because they might not simply have the skills to o that 5 o not trust them ont tell them personal etails about your life or things they coul use against you keep your istance an value your boun aries protect yourself
1029,this only works if all people involve are reasonable if one or more parties cant be reasone with then the problem continues you can communicate until youre blue in the face but if the other person isnt willing to communicate appropriately then youve hit a brick wall
1030,their ba behavior shoul nt be the cause of your heartattack brilliant
1031,cannot communicate with sociopaths on any reasonable level people who cannot empathize will never see things from your point of view someone who is a sociopathic master manipulator can only be ealt with by affecting what matters most to them money unfortunately office sociopaths who gaslight aily rarely get repriman e they have everyone else in the office convince they are won erful an that you are the problem best solution is to remove yourself from that environment
